Cadastro;Tipo;Cód. Terreno;Bairro - Código;Bairro - Nome;Logradouro - Código;Logradouro - Nome;Quadra;Lote;Número;Cep;Situação Cadastral
192415352;Unidade;236721;12679;BAIRRO BOTAFOGO;109;MANAUS;5;12;401;85.963-294;Ativo
192415344;Unidade;1106236;12693;BAIRRO ANDORINHA;12447;ERNESTO VITECK;13;3;5192;85.966-122;Ativo
192415336;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415328;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415310;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415301;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415271;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415263;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415255;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415247;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415239;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415220;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415212;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415204;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415190;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415182;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415174;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415166;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415158;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415140;Unidade;1135350;12695;BAIRRO FLORIDA;670;GEORG VORPAGEL;1;8;2255;85.960-538;Ativo
192415131;Unidade;1117165;12695;BAIRRO FLORIDA;51;IRIO JACOB WELP;6;10;6006;85.960-508;Ativo
192415123;Unidade;1117165;12695;BAIRRO FLORIDA;51;IRIO JACOB WELP;6;10;6010;85.960-508;Ativo
192415115;Unidade;1117165;12695;BAIRRO FLORIDA;51;IRIO JACOB WELP;6;10;6010;85.960-508;Ativo
192415107;Unidade;1029630;12693;BAIRRO ANDORINHA;552;SUBURBANA;CHAC;20;;85.969-899;Ativo
192415093;Unidade;186511;12689;BAIRRO BOA VISTA;12;RIO GRANDE DO SUL;5;16/17;7256;85.966-438;Ativo
192415085;Unidade;1144251;12694;BAIRRO BORBOLETA;15147;ALFREDO RAHMEIER;5;1;368;85.966-008;Ativo
192415077;Unidade;1091018;12680;BAIRRO HIGIENOPOLIS;444;FRANCISCO BELTRAO;6;5;652;85.963-564;Ativo
